title,description,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film_noir,history,horror,music,musical,mystery,romance,sci_fi,short,sport,superhero,thriller,war,western,poster_path,descr_action,descr_adventure,descr_animation,descr_biography,descr_comedy,descr_crime,descr_documentary,descr_drama,descr_family,descr_fantasy,descr_film_noir,descr_history,descr_horror,descr_music,descr_musical,descr_mystery,descr_romance,descr_sci_fi,descr_short,descr_sport,descr_superhero,descr_thriller,descr_war,descr_western,label_action,label_adventure,label_animation,label_biography,label_comedy,label_crime,label_documentary,label_drama,label_family,label_fantasy,label_film_noir,label_history,label_horror,label_music,label_musical,label_mystery,label_romance,label_sci_fi,label_short,label_sport,label_superhero,label_thriller,label_war,label_western
Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,./data/posters/western/hell_or_high_water.jpg,-1.679905,-1.9925655,-2.903503,-3.7663786,-1.9093198,-3.1488996,-2.7763443,-0.8381284,-3.8947084,-3.1306589,-4.9738016,-3.774818,-3.4130573,-6.5361013,-6.0440574,-3.4217083,-3.2584882,-3.0364068,-1.0225432,-3.8160555,-4.793713,-3.4257033,-5.32198,-2.075662,-3.4808533,-3.9398973,-4.1451607,-2.7072015,-1.9152933,-2.0492172,-0.5172575,-0.76541305,-3.8573923,-2.791345,-2.9575372,-2.6867962,-0.81466264,-3.1244438,-4.8710775,-1.6099219,-2.6057074,-2.745492,-1.7206553,-4.3983135,-4.4624333,-1.7730478,-3.8307562,-4.1529064
Friendly Persuasion,The pacifist attitude of a Quaker family is tested as a result of the American Civil War.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,./data/posters/family/friendly_persuasion.jpg,-1.9771366,-2.1789687,-2.5274007,-3.1751595,-1.5767013,-3.460226,-1.9388069,-0.7880776,-3.6871867,-2.6848953,-5.4277787,-2.8916392,-3.9989762,-5.906504,-5.659006,-3.7070174,-3.3410132,-3.402764,-0.66010827,-3.7084045,-4.7542233,-3.9150155,-5.108667,-3.9312565,-3.620833,-3.976524,-4.1525526,-2.6858897,-1.8077015,-2.178814,-0.54342914,-0.72046643,-3.8104613,-2.8049154,-3.0475245,-2.7303362,-0.9259493,-2.9605286,-4.787154,-1.7085602,-2.4351778,-2.8080015,-1.6911424,-4.4140797,-4.5427155,-1.9169722,-3.8908398,-4.262798
Come and See,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,./data/posters/war/come_and_see.jpg,-1.2242076,-1.937517,-3.030879,-3.7574885,-1.4853324,-3.977268,-2.9921384,-1.1329808,-3.885389,-3.3891265,-5.876147,-2.8138037,-4.5661273,-6.7896295,-6.206774,-4.297123,-3.4282098,-3.7348611,-1.2831044,-3.611926,-5.039932,-3.7445529,-3.545497,-3.0106993,-3.4691117,-3.8936176,-4.1172547,-2.6470964,-1.874198,-2.1529713,-0.5492483,-0.6949306,-3.7978292,-2.7378697,-2.9890308,-2.6445825,-0.84862393,-3.0209248,-4.801262,-1.6260289,-2.455429,-2.6888924,-1.7043071,-4.3530703,-4.440384,-1.8108807,-3.7912948,-4.208119
Midnight Express,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/biography/midnight_express.jpg,-1.8916197,-2.6854806,-2.9625025,-3.1483119,-1.9053988,-2.506898,-1.4145868,-1.3748537,-4.439574,-3.2019167,-5.051021,-3.1564803,-3.5355651,-6.129192,-6.119438,-3.4935725,-4.0747666,-3.048746,-0.5676281,-3.82222,-4.558314,-3.443681,-5.179841,-3.7898178,-3.459945,-3.8886616,-4.0941916,-2.7065814,-1.8727461,-2.1329117,-0.5304938,-0.76160836,-3.79286,-2.7265723,-2.993737,-2.698078,-0.81527823,-3.0402267,-4.8075657,-1.6167315,-2.509532,-2.6748192,-1.6812674,-4.3801975,-4.4164624,-1.7915684,-3.8327923,-4.2161765
The Sniper,A sniper kills young brunettes as the police attempt to grapple with the psychology of the unknown assailant.,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/film_noir/the_sniper.jpg,-0.8336907,-2.6522803,-2.8044012,-3.581684,-1.3688519,-1.6597818,-2.683277,-1.0642126,-4.0587826,-3.0561268,-4.549582,-3.5564947,-3.495963,-6.621283,-6.1335216,-2.9427633,-3.6168633,-3.1485674,-0.78308296,-3.4747007,-3.9038355,-2.8728955,-4.855147,-3.3843377,-3.5076115,-3.8461683,-3.9924378,-2.8139613,-1.7526456,-2.2135117,-0.5613743,-0.8824728,-3.716539,-2.7317433,-3.1617596,-2.836281,-0.84669745,-2.9280775,-4.7259865,-1.729283,-2.5113006,-2.7192845,-1.6326984,-4.455354,-4.451056,-1.9025928,-3.9437459,-4.251198
Quills,"In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor.",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/biography/quills.jpg,-1.85923,-2.0044541,-2.9173458,-2.8129795,-1.6080235,-3.7318072,-2.8069782,0.17659397,-3.472603,-2.204107,-5.4657903,-2.24059,-3.8181548,-5.767848,-5.2773323,-3.6548643,-2.5014067,-3.4007611,-1.0802529,-3.535298,-4.7279124,-3.80584,-4.6527324,-3.490252,-3.477296,-3.905547,-4.1384983,-2.6281872,-1.8851223,-2.1502,-0.5650057,-0.66641974,-3.8089466,-2.7529066,-2.9829094,-2.6341732,-0.86496407,-3.0295808,-4.811087,-1.6267353,-2.4487877,-2.6978135,-1.7195392,-4.3583965,-4.4529786,-1.8136978,-3.785306,-4.2133904
Hotel Desire,"A young single mother drops her son of at the bus stop to visit his dad in Paris. After being late for work, she almost gets fired. At the end of her duties she gets into a tricky situation which she handles, with the advice her colleague gave her.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,./data/posters/romance/hotel_desire.jpg,-2.2386484,-2.4798489,-2.3982096,-3.4382331,-0.9681321,-3.3778143,-2.1740398,-0.74086934,-3.4127085,-2.4095762,-5.0599833,-3.5764813,-3.5118868,-5.8399253,-5.4834776,-3.4473634,-2.7647836,-3.099102,-0.18766129,-3.3616354,-4.521739,-3.7978492,-5.2685733,-3.9655452,-3.5591226,-3.960194,-4.158069,-2.6827364,-1.8515877,-2.1597724,-0.5482239,-0.7044872,-3.8242893,-2.7967308,-3.0339572,-2.7097957,-0.9068388,-2.9845884,-4.8077483,-1.6919795,-2.469365,-2.7572203,-1.7069409,-4.398882,-4.5110474,-1.8757437,-3.8723226,-4.2604814
"Lyle, Lyle, Crocodile",Feature film based on the children's book about a crocodile that lives in New York City.,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,./data/posters/adventure/lyle__lyle__crocodile.jpg,-2.1828663,-1.4626032,-1.3326085,-3.8744056,-0.81144845,-4.0794144,-1.780482,-1.8692306,-2.8171139,-2.1317656,-5.9466944,-3.687971,-3.280229,-5.3205037,-5.007645,-3.6346183,-3.49816,-2.9937475,0.03137468,-3.4513361,-4.379764,-4.2559643,-5.503869,-4.4116607,-3.4528368,-3.777467,-3.9575627,-2.8231294,-1.7834648,-2.241265,-0.48149425,-0.940179,-3.724042,-2.683991,-3.1675463,-2.7338128,-0.7956498,-3.0761063,-4.794032,-1.680666,-2.6276,-2.7162907,-1.5806869,-4.4296055,-4.425409,-1.9019189,-3.881026,-4.1471133
The Dark Mirror,"A man is found murdered, and witnesses are sure about the woman they saw leaving his apartment. However, it becomes apparent that the woman has a twin, and finding out which one is the killer seems impossible.",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/film_noir/the_dark_mirror.jpg,-2.2065284,-2.9314427,-2.8815627,-3.0614858,-1.3027824,-2.4118767,-2.0258012,-0.41639045,-3.9174855,-2.5648563,-4.3205895,-3.3608196,-3.353879,-6.022081,-5.5990853,-2.9159214,-2.6909354,-3.1394975,-0.24702047,-3.4431977,-4.3447995,-3.3071773,-5.0746465,-3.7453964,-3.5235388,-3.8412912,-3.986262,-2.8117504,-1.7379409,-2.233522,-0.55345654,-0.8820484,-3.6984327,-2.717449,-3.1641998,-2.8355849,-0.843182,-2.8952646,-4.7013397,-1.7332519,-2.480195,-2.7158754,-1.6224416,-4.4505796,-4.4491,-1.9119519,-3.9449265,-4.2585645
Kenobi: A Star Wars Story,"After years in hiding, Obi-Wan Kenobi struggles to reconnect with the Force in order to protect Luke Skywalker from Imperial forces.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,./data/posters/adventure/kenobi__a_star_wars_story.jpg,-0.86869174,-1.3462528,-2.3587317,-3.5500567,-1.9438962,-3.5746884,-2.1256561,-0.7038467,-3.7606797,-2.0869858,-5.4941435,-2.9539795,-3.4939935,-6.303646,-5.8706126,-3.363817,-3.411931,-2.0772038,-0.681996,-3.6600544,-4.0380073,-3.4901297,-4.627558,-4.1421165,-3.4765062,-3.732345,-3.8542275,-2.9453897,-1.6610409,-2.321147,-0.53044736,-1.0287633,-3.610037,-2.6464891,-3.304295,-2.913473,-0.8349219,-2.900471,-4.669394,-1.8018147,-2.5238626,-2.6865146,-1.5155495,-4.427222,-4.3955393,-1.9872046,-4.0041137,-4.298304
Barbie,Barbie lives in Barbie Land and then a story happens.,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,./data/posters/adventure/barbie.jpg,-1.4068806,-1.9503057,-2.0514994,-3.135822,-1.4013008,-3.1409016,-1.633568,-0.8489186,-3.4241183,-2.032067,-4.9336376,-2.8569016,-3.2648585,-5.589951,-5.3314714,-3.2236261,-2.9820065,-2.6616137,-0.19870766,-3.2214684,-3.96925,-3.4989443,-4.6585593,-3.9668138,-3.4838617,-3.904085,-4.1211424,-2.6573591,-1.8575917,-2.1638849,-0.5494928,-0.7154904,-3.7938385,-2.7578406,-3.0199862,-2.6563122,-0.87409407,-3.02332,-4.8053827,-1.6548016,-2.4743748,-2.713762,-1.6981562,-4.3716993,-4.4543595,-1.8423957,-3.8099294,-4.227633
Mr. Holland's Opus,A frustrated composer finds fulfillment as a high school music teacher.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,./data/posters/music/mr__holland_s_opus.jpg,-1.8987306,-2.4863157,-2.3996928,-2.847224,-1.78048,-3.323659,-2.0284684,-0.5873872,-3.5973108,-2.8444028,-5.4690056,-3.0647132,-4.1386557,-3.9685006,-5.0066676,-4.0503182,-3.5064874,-3.8855536,-1.2068051,-3.2561705,-4.8970914,-4.075372,-5.029131,-4.2100277,-3.4835024,-3.89104,-4.1037574,-2.6726358,-1.8600618,-2.1689584,-0.54104495,-0.7264174,-3.7927313,-2.744184,-3.0307229,-2.6675246,-0.854571,-3.0103264,-4.796981,-1.6556951,-2.4868133,-2.7120302,-1.6833559,-4.382208,-4.457231,-1.8448743,-3.8290553,-4.221952
Speed Racer,Young driver Speed Racer aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,./data/posters/sport/speed_racer.jpg,-0.7495396,-1.4494354,-1.6389375,-2.9157567,-1.0025085,-3.6190872,-1.9598392,-1.5283575,-3.0030577,-3.125848,-5.8682175,-3.5176659,-4.5049515,-5.85463,-5.9809914,-4.461507,-3.912399,-3.0430605,-1.2020931,0.065182924,-4.070406,-4.156698,-5.235202,-3.9498045,-3.4377477,-3.877784,-4.085989,-2.8311043,-1.7912211,-2.2064152,-0.5523231,-0.87746656,-3.8819554,-2.820707,-3.2103252,-2.8378785,-0.95756394,-3.215247,-4.970316,-1.7732034,-2.673328,-2.7471201,-1.6842457,-4.2883887,-4.469588,-1.9450259,-3.9836905,-4.2162385
Tremors II: Aftershocks,"Earl Bassett, now a washed-up ex-celebrity, is hired by a Mexican oil company to eradicate a Graboid epidemic that's killing more people each day. However, the humans aren't the only one with a new battle plan.",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,./data/posters/western/tremors_ii__aftershocks.jpg,-1.3589835,-1.3325974,-2.4080858,-3.6101825,-1.7572547,-3.8479214,-2.0558875,-1.1780161,-3.6767642,-2.648474,-5.552756,-3.1506634,-3.5119476,-6.2230606,-5.830745,-3.763061,-3.4460635,-2.605494,-0.7307558,-3.5058978,-4.434537,-3.7774055,-5.1722684,-3.006047,-3.4361286,-3.8423588,-4.0342264,-2.783145,-1.8192753,-2.1668139,-0.42150137,-0.9270466,-3.7586281,-2.7162123,-3.0667481,-2.7284784,-0.8132558,-3.0462425,-4.783947,-1.6774038,-2.5775728,-2.6777878,-1.596629,-4.3592134,-4.378775,-1.8552204,-3.8599446,-4.1536016
The Toast of New York,"Notorious robber baron financier Jim Fisk, who makes and loses fortunes, tries to corner the gold market as well as the heart of a beautiful actress.",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,./data/posters/war/the_toast_of_new_york.jpg,-1.3733788,-1.7023066,-2.7372885,-2.8977013,-1.7546116,-2.9534996,-1.7451979,-0.9693614,-4.0057063,-3.0092752,-5.257305,-2.623108,-4.207702,-6.2029276,-5.908192,-3.788008,-3.5990422,-3.1424508,-1.0491507,-3.3496025,-4.501486,-3.7809753,-4.9784293,-3.189533,-3.539425,-3.8366446,-3.9615643,-2.8219752,-1.6991414,-2.2498455,-0.52330893,-0.9263235,-3.6776667,-2.7251136,-3.199191,-2.8463542,-0.8575412,-2.8651896,-4.6751337,-1.773325,-2.488949,-2.734081,-1.5888901,-4.437139,-4.4555755,-1.947081,-3.9580202,-4.2497745
Caddyshack,An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,./data/posters/sport/caddyshack.jpg,-1.3182647,-1.726802,-1.8143411,-3.187464,-1.1748103,-3.7583537,-1.8222104,-1.4296955,-3.037853,-2.9969378,-5.5992413,-3.5621572,-4.1809096,-5.9217763,-5.6439652,-4.0544744,-3.5500956,-3.2717702,-0.8505457,-0.8355279,-4.5235815,-4.1500854,-5.302184,-3.6380842,-3.4613633,-3.8750596,-4.083464,-2.6849008,-1.826524,-2.1716723,-0.5133777,-0.77540374,-3.7770624,-2.742517,-3.0372107,-2.6775036,-0.8688462,-3.0116,-4.7857347,-1.6723757,-2.49284,-2.687097,-1.6596684,-4.3431673,-4.4260864,-1.8535854,-3.819918,-4.2004876
The New World,"The story of the English exploration of Virginia, and of the changing world and loves of Pocahontas.",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/history/the_new_world.jpg,-1.551353,-1.8878278,-2.3811574,-2.8746064,-1.5708107,-3.3266869,-1.6004632,-0.671916,-3.692185,-2.1729374,-5.3055363,-2.4058836,-3.7445133,-5.712161,-5.4662557,-3.5686965,-3.092758,-2.9158936,-0.3806659,-3.3385222,-4.255515,-3.7397685,-4.740768,-4.080525,-3.5285363,-3.8301752,-3.971076,-2.8109028,-1.7208599,-2.253983,-0.5432699,-0.8951583,-3.6843011,-2.7148924,-3.185111,-2.8280709,-0.8490412,-2.877611,-4.685923,-1.7502047,-2.4768822,-2.7211685,-1.6067802,-4.4434776,-4.452474,-1.9298279,-3.9423058,-4.2518907
Gaslit,A modern take on the 1970s political Watergate scandal centering on untold stories and forgotten characters of the time.,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,./data/posters/biography/gaslit.jpg,-1.6539613,-2.1898947,-2.4322052,-3.0327475,-1.4511697,-2.9338598,-1.3706094,-0.8381595,-3.7398465,-2.3046732,-4.9485087,-2.8039901,-3.4514275,-5.865682,-5.631988,-3.2201202,-3.2771754,-2.585635,-0.32448548,-3.2077177,-4.157806,-3.4796765,-4.828081,-4.169945,-3.466427,-3.898815,-4.13763,-2.621512,-1.8927314,-2.1537101,-0.55815196,-0.6641908,-3.8088207,-2.7510283,-2.9828897,-2.615141,-0.8700615,-3.0307844,-4.810915,-1.6296718,-2.450434,-2.6963522,-1.7161806,-4.3504863,-4.4483104,-1.8155226,-3.770203,-4.206863
Road House,A tough bouncer is hired to tame a dirty bar.,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,./data/posters/action/road_house.jpg,-0.4682264,-1.8994849,-1.6448979,-3.7048237,-0.22023915,-1.9354169,-3.003669,-1.9872788,-3.2524793,-3.2188537,-4.969587,-3.9918694,-3.9223058,-5.7884593,-5.4018965,-3.8618293,-3.702477,-3.2687774,-0.5600982,-2.6048338,-3.4566624,-3.4529436,-5.2259088,-3.3666906,-3.4916847,-3.9262903,-4.1422734,-2.6784408,-1.9131904,-2.1024458,-0.5898361,-0.67615265,-3.8402224,-2.7604733,-2.9473448,-2.669833,-0.817835,-3.0938587,-4.861103,-1.5858122,-2.5127478,-2.7197955,-1.7375213,-4.4116864,-4.466371,-1.7714784,-3.80983,-4.2161493
